지역,망,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
서울 종로구,도시대기,111123,종로구,2025010101,0.0026,0.68,0.0045,0.0425,23,12,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010102,0.0023,0.73,0.0034,0.0457,24,11,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010103,0.0025,0.77,0.0032,0.0478,23,13,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010104,0.0028,0.76,0.0036,0.0458,31,17,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010105,0.0029,0.72,0.0035,0.046,31,16,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010106,0.0028,0.7,0.0035,0.0449,26,16,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010107,0.0027,0.63,0.0033,0.0425,27,18,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010108,0.0026,0.53,0.0036,0.0399,24,16,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010109,0.0027,0.5,0.0057,0.0375,21,15,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010110,0.0031,0.57,0.0076,0.0377,24,17,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010111,0.0036,0.6,0.0115,0.0347,26,16,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010112,0.0042,0.6,0.0163,0.0339,29,16,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010113,0.0042,0.53,0.0246,0.0254,37,23,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010114,0.0036,0.43,0.0383,0.0153,54,31,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010115,0.0038,0.39,0.0488,0.0095,61,31,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010116,0.0038,0.4,0.0488,0.0112,60,30,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010117,0.0037,0.39,0.049,0.0118,63,30,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010118,0.0034,0.43,0.0457,0.015,64,31,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010119,0.003,0.46,0.0424,0.0169,58,29,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010120,0.0028,0.43,0.042,0.0148,55,26,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010121,0.0026,0.53,0.0334,0.0218,53,26,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010122,0.0025,0.5,0.0327,0.0203,53,28,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010123,0.0025,0.53,0.0305,0.0207,50,27,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010124,0.0025,0.61,0.0253,0.0253,47,25,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010201,0.0022,0.67,0.0177,0.0311,51,27,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010202,0.0024,0.64,0.0215,0.0251,44,26,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010203,0.0022,0.63,0.0169,0.0293,42,24,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010204,0.0023,0.58,0.017,0.0275,36,23,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010205,0.0021,0.6,0.0145,0.0301,35,22,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010206,0.0018,0.75,0.008,0.038,35,22,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010207,0.0022,0.73,0.0049,0.0425,37,24,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010208,0.0024,0.81,0.0047,0.0426,42,26,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010209,0.0028,0.74,0.0069,0.041,40,25,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010210,0.0032,0.88,0.0102,0.0438,45,28,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010211,0.0039,0.73,0.0162,0.0345,44,23,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010212,0.0038,0.73,0.0187,0.036,51,30,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010213,0.0034,0.43,0.0303,0.0182,43,22,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010214,0.0033,0.35,0.0344,0.0153,31,18,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010215,0.0032,0.27,0.0383,0.0103,22,14,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010216,0.0033,0.32,0.0386,0.0112,19,12,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010217,0.0034,0.3,0.0384,0.0118,23,11,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010218,0.0032,0.33,0.0368,0.012,19,14,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010219,0.0031,0.4,0.0308,0.0198,21,8,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010220,0.0037,0.36,0.0345,0.0146,22,11,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010221,0.0031,0.38,0.0332,0.0151,23,14,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010222,0.0031,0.41,0.0281,0.0196,24,14,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010223,0.0031,0.4,0.0291,0.0164,26,17,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010224,0.0026,0.36,0.031,0.0112,28,19,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010301,0.0022,0.33,0.0321,0.008,22,17,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010302,0.0024,0.35,0.031,0.0087,19,15,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010303,0.0023,0.35,0.0309,0.0084,21,14,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010304,0.0026,0.35,0.0294,0.0094,19,13,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010305,0.0025,0.34,0.0295,0.0095,21,15,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010306,0.0023,0.38,0.021,0.0186,25,15,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010307,0.0025,0.43,0.0162,0.0237,25,16,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010308,0.0021,0.41,0.0183,0.021,23,15,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010309,0.0028,0.43,0.0212,0.0182,23,15,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010310,0.0027,0.38,0.0271,0.013,21,16,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010311,0.003,0.38,0.0283,0.0143,23,12,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010312,0.0031,0.43,0.0256,0.0185,27,17,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010313,0.0032,0.36,0.0292,0.0154,25,15,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010314,0.0032,0.31,0.0314,0.0138,22,13,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010315,0.0034,0.35,0.026,0.021,,14,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010316,0.0031,0.36,0.0266,0.0222,,14,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010317,0.0031,0.36,0.0284,0.0191,25,13,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010318,0.0028,0.41,0.0257,0.0221,24,14,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010319,0.0023,0.43,0.0244,0.0238,22,12,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010320,0.0025,0.45,0.0253,0.0235,21,18,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010321,0.0022,0.43,0.0246,0.0233,21,15,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010322,0.0024,0.41,0.0243,0.022,25,12,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010323,0.0022,0.38,0.0293,0.0154,26,13,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010324,0.0021,0.39,0.0341,0.0102,28,19,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010401,0.0025,0.4,0.0349,0.0093,33,25,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010402,0.0026,0.4,0.0337,0.0102,30,18,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010403,0.0025,0.38,0.0338,0.0093,28,23,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010404,0.0024,0.37,0.0336,0.0087,29,25,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010405,0.0025,0.4,0.0307,0.0117,31,23,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010406,0.0027,0.39,0.0282,0.0145,29,22,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010407,0.0025,0.48,0.0218,0.021,27,20,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010408,0.0027,0.52,0.0159,0.0294,32,22,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010409,0.0024,0.67,0.0073,0.0431,33,25,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010410,0.0027,0.66,0.0124,0.0367,36,26,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010411,0.003,0.6,0.0182,0.0316,47,31,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010412,0.0035,0.6,0.0195,0.0316,46,31,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010413,0.0032,0.54,0.0203,0.0316,45,29,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010414,0.0029,0.4,0.0267,0.0225,32,21,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010415,0.0029,0.31,0.0325,0.0167,21,15,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010416,0.0033,0.37,0.0264,0.0252,25,16,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010417,0.0037,0.41,0.0247,0.0289,31,20,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010418,0.0034,0.44,0.0164,0.0361,29,14,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010419,0.0034,0.52,0.0132,0.0405,31,20,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010420,0.0027,0.41,0.0189,0.0309,27,17,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010421,0.0028,0.51,0.0111,0.0418,25,15,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010422,0.003,0.59,0.0093,0.0445,30,19,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010423,0.0028,0.82,0.0055,0.0528,32,22,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010424,0.003,0.69,0.0052,0.0483,30,25,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010501,0.003,0.73,0.0047,0.054,31,20,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010502,0.003,0.81,0.0047,0.0533,31,22,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010503,0.0027,0.64,0.0044,0.0485,30,20,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010504,0.0024,0.53,0.0098,0.0387,26,19,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010505,0.0026,0.47,0.0124,0.0327,26,20,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010506,0.0024,0.46,0.0154,0.0296,28,20,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010507,0.0023,0.44,0.0152,0.0277,42,22,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010508,0.002,0.44,0.0148,0.0265,32,19,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010509,0.0019,0.47,0.0121,0.0273,25,21,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010510,0.002,0.48,0.0113,0.0313,24,21,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010511,0.0019,0.52,0.0129,0.0308,27,20,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010512,0.0018,0.53,0.0128,0.0323,30,24,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010513,0.0022,0.57,0.0117,0.0352,32,27,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010514,0.0023,0.6,0.0121,0.039,35,27,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010515,0.0021,0.58,0.0159,0.0323,38,32,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010516,0.0022,0.51,0.0162,0.0306,40,33,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010517,0.0019,0.54,0.0154,0.0307,41,33,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010518,0.002,0.59,0.0111,0.0366,39,32,서울 종로구 종로35가길 19
서울 종로구,도시대기,111123,종로구,2025010519,0.0019,0.58,0.0106,0.0371,41,34,서울 종로구 종로35가길 19
