지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
108,서울,2025-01-01 0:00,-1.2,,,9,0.7,,290,,60,,3.4,-7.9,1011.6,,1022.5,,,9,,9,,,0,0,,,3546,,,-3,,-0.3,-0.3,0.9,1.7
108,서울,2025-01-01 1:00,-1.7,,,,1.1,,250,,62,,3.3,-8,1011.7,,1022.6,,,9,,9,,,0,0,,,3274,,,-3.3,,-0.3,-0.3,0.9,1.7
108,서울,2025-01-01 2:00,-1.8,,,,0.5,,340,,64,,3.4,-7.7,1011.5,,1022.4,,,9,,9,,,0,0,,,3460,,,-3.5,,-0.3,-0.3,0.9,1.7
108,서울,2025-01-01 3:00,-2,,,,1.9,,20,,66,,3.5,-7.5,1011.3,,1022.2,,,9,,9,,,0,0,,,3256,,,-3.6,,-0.3,-0.3,0.9,1.7
108,서울,2025-01-01 4:00,-2.3,,,,2.2,,20,,67,,3.5,-7.6,1010.8,,1021.7,,,9,,9,,,0,0,,,3111,,,-3.7,,-0.3,-0.3,0.9,1.7
108,서울,2025-01-01 5:00,-2.5,,,,2,,50,,69,,3.5,-7.4,1010.8,,1021.7,,,9,,9,,,7,7,Sc,17,2989,,,-3.6,,-0.4,-0.3,0.9,1.7
108,서울,2025-01-01 6:00,-1.9,,,,2.1,,20,,68,,3.6,-7,1010.8,,1021.7,,,9,,9,,,8,8,Sc,14,2947,,,-2.5,,-0.4,-0.3,0.9,1.7
108,서울,2025-01-01 7:00,-1.3,,,,2.7,,20,,68,,3.8,-6.4,1011.2,,1022.1,,,9,,9,,,9,9,Sc,14,3113,,,-1.9,,-0.4,-0.3,0.9,1.7
108,서울,2025-01-01 8:00,-0.8,,,,2.4,,20,,68,,3.9,-5.9,1011.1,,1022,,0,,0,,,,9,9,Sc,15,3000,,,-1.7,,-0.3,-0.3,0.9,1.7
108,서울,2025-01-01 9:00,-0.1,,,,1.7,,50,,68,,4.1,-5.3,1011.2,,1022.1,,0,,0.13,,,,8,8,Sc,15,3159,,,-1.1,,-0.3,-0.3,0.9,1.7
