feature,importance
PM10,0.9548774647509679
지면온도(°C),0.017383048980509328
시정(10m),0.009647376538778457
hour,0.0062883328494770145
PM25,0.002921245914736002
습도(%),0.0014113791382196397
CO,0.0012758410620057725
일사(MJ/m2),0.001062334860147789
풍속(m/s),0.000851033632180184
강수량(mm),0.000714948400994262
일조(hr),0.0004451295724274221
PM10_lag1,0.0003387794326429961
NO2,0.0003308653385760639
전운량(10분위),0.0003083796730358753
풍향(16방위),0.0003072186468476114
O3,0.00029876702533814203
최저운고(100m ),0.00023180399438218176
10cm 지중온도(°C),0.0001796427416367235
day,0.0001744777703126021
증기압(hPa),0.000171828295061594
5cm 지중온도(°C),0.00014975464395761598
해면기압(hPa),0.00014012145510966693
현지기압(hPa),0.0001299652256688597
이슬점온도(°C),0.00012067915828571238
30cm 지중온도(°C),5.514660597236152e-05
month,5.089345056049568e-05
중하층운량(10분위),4.769552470205379e-05
기온(°C),4.113380672461527e-05
SO2,3.300030019821527e-05
20cm 지중온도(°C),1.1711210542810982e-05
